Rank,Team
1,Clemson
2,Alabama
3,Michigan State
4,Oklahoma
5,Iowa
6,Stanford
7,Ohio State
8,Notre Dame
9,Florida State
10,North Carolina
11,TCU
12,Ole Miss
13,Northwestern
14,Michigan
15,Oregon
16,Oklahoma State
17,Baylor
18,Houston
19,Florida
20,LSU
,
22,Utah
23,Tennessee
24,Temple
25,Southern Cal
