Survey Year,Team,State,Players,Operating Expenses per Participant,Operating Expenses,Total Revenues,Total Expenses,Net Revenue
2017,Appalachian State University,NC,120,15482,1857847,9247671,9247671,0
2017,Arizona State University-Tempe,AZ,125,49253,6156576,47463786,50151443,-2687657
2017,Arkansas State University-Main Campus,AR,121,15751,1905840,6518834,6518834,0
2017,Auburn,AL,110,51069,5617570,93562715,43605320,49957395
2017,Ball State University,IN,113,14489,1637261,7205016,7205016,0
2017,Baylor University,TX,121,45428,5496810,41528041,28188097,13339944
2017,Boise State,ID,109,25341,2762184,20470985,11803457,8667528
2017,Boston College,MA,106,47711,5057319,32378875,23477213,8901662
2017,Bowling Green State University-Main Campus,OH,102,18975,1935440,6895955,6895955,0
2017,Brigham Young University-Provo,UT,129,33236,4287462,28209221,19435229,8773992
2017,California State University-Fresno,CA,114,23953,2730612,17870018,17870018,0
2017,Central Michigan University,MI,114,19205,2189323,7261558,7261558,0
2017,Clemson,SC,122,61841,7544554,52029977,46302285,5727692
2017,Colorado State University-Fort Collins,CO,115,39860,4583910,21696561,21696561,0
2017,Duke University,NC,115,23032,2648672,37844852,26200992,11643860
2017,East Carolina University,NC,132,15071,1989345,11203863,10578112,625751
2017,Eastern Michigan University,MI,113,11552,1305382,8551496,8551496,0
2017,Florida Atlantic University,FL,128,16655,2131813,10592032,10592032,0
2017,Florida International University,FL,103,18879,1944548,9333891,9236441,97450
2017,Florida State University,FL,126,90166,11360927,87510028,57732569,29777459
2017,Georgia Institute of Technology-Main Campus,GA,119,21474,2555381,52125034,25096298,27028736
2017,Georgia Southern University,GA,127,7771,986940,6881771,6881771,0
2017,Georgia State University,GA,123,13292,1634924,7834970,7834970,0
2017,Indiana University-Bloomington,IN,125,28545,3568142,51856180,24374745,27481435
2017,Iowa State University,IA,133,32405,4309841,44264830,23088361,21176469
2017,Kansas State University,KS,124,27299,3385066,41333499,20571556,20761943
2017,Kent State University at Kent,OH,100,16461,1646055,6889811,6889811,0
2017,LSU,LA,120,30563,3667555,86579944,31561996,55017948
2017,Louisiana Tech University,LA,100,16832,1683216,8345817,8177657,168160
2017,Marshall University,WV,116,18382,2132268,9609438,9609438,0
2017,Miami University-Oxford,OH,119,9625,1145370,8956175,8956176,-1
2017,Michigan State,MI,117,49347,5773647,77930837,33528479,44402358
2017,Middle Tennessee State University,TN,131,12761,1671698,10052943,10052943,0
2017,Mississippi State,MS,123,39920,4910136,29753690,23226169,6527521
2017,New Mexico State University-Main Campus,NM,112,13315,1491332,7563062,7563062,0
2017,North Carolina Central University,NC,128,5482,701639,4012412,4012412,0
2017,NC State,NC,115,17310,1990645,45214291,21321620,23892671
2017,Northern Illinois University,IL,104,17639,1834427,8610948,8610948,0
2017,Northwestern,IL,115,25446,2926279,49703674,30031305,19672369
2017,Ohio State,OH,128,92049,11782222,110661057,46444134,64216923
2017,Ohio University-Main Campus,OH,120,10153,1218376,9334446,9292143,42303
2017,Oklahoma State,OK,131,23775,3114536,45717019,22467863,23249156
2017,Old Dominion University,VA,117,21032,2460776,10694948,10694948,0
2017,Oregon State University,OR,116,29431,3413979,35238292,17323268,17915024
2017,Penn State,PA,124,78845,9776770,100098956,45569892,54529064
2017,Purdue University-Main Campus,IN,120,33169,3980318,25822409,27230929,-1408520
2017,Rice University,TX,104,18066,1878815,13329200,13329200,0
2017,Rutgers University-New Brunswick,NJ,120,52675,6321011,25939804,25939804,0
2017,San Diego State University,CA,111,38750,4301288,14900547,15531066,-630519
2017,San Jose State University,CA,108,19938,2153328,10921731,10921731,0
2017,Southern Methodist University,TX,112,31708,3551281,20465957,20465957,0
2017,Stanford,CA,103,50140,5164460,46847028,27000776,19846252
2017,Syracuse University,NY,120,29414,3529663,41533110,24994763,16538347
2017,Temple University,PA,125,39153,4894075,21066698,21066698,0
2017,Texas A & M University-College Station,TX,118,44079,5201338,82564175,48119071,34445104
2017,TCU,TX,132,54531,7198138,56584276,39154002,17430274
2017,Texas State University,TX,120,15361,1843322,6725212,7123686,-398474
2017,Texas Tech University,TX,129,30906,3986837,45054306,20037020,25017286
2017,Alabama,AL,138,70301,9701496,111102134,62944472,48157662
2017,The University of Tennessee-Knoxville,TN,126,38658,4870940,93890299,45343685,48546614
2017,The University of Texas at Austin,TX,115,21588,2482617,143064180,41250787,101813393
2017,The University of Texas at El Paso,TX,136,15994,2175186,13421668,11576933,1844735
2017,The University of Texas at San Antonio,TX,104,31558,3282075,10548064,10548064,0
2017,Troy University,AL,139,9220,1281640,9513418,8741459,771959
2017,Tulane University of Louisiana,LA,109,23334,2543425,14191889,14191889,0
2017,University at Buffalo,NY,111,14457,1604685,7730058,7730058,0
2017,University of Akron Main Campus,OH,105,11177,1173558,7396137,7396137,0
2017,University of Alabama at Birmingham,AL,135,13793,1862013,11234371,10587110,647261
2017,University of Arizona,AZ,128,39498,5055779,44011760,32153926,11857834
2017,University of Arkansas,AR,123,44542,5478663,67851084,44633637,23217447
2017,University of California-Berkeley,CA,119,58377,6946917,32650505,25140854,7509651
2017,University of California-Los Angeles,CA,122,74265,9060305,39891547,46765107,-6873560
2017,Central Florida,FL,132,31801,4197753,26822661,21610325,5212336
2017,University of Cincinnati-Main Campus,OH,114,21586,2460811,13856255,13856255,0
2017,University of Colorado Boulder,CO,110,40006,4400688,43468471,22082244,21386227
2017,University of Connecticut,CT,98,42491,4164126,18955517,15135138,3820379
2017,University of Florida,FL,129,69165,8922234,87985713,47342367,40643346
2017,Georgia,GA,131,66826,8754154,129023591,44909546,84114045
2017,University of Hawaii at Manoa,HI,117,22037,2578280,11177559,11177559,0
2017,University of Houston,TX,136,21601,2937725,14216992,14216992,0
2017,University of Idaho,ID,111,15942,1769518,6535395,6535395,0
2017,University of Illinois at Urbana-Champaign,IL,108,25046,2705000,51295520,22217186,29078334
2017,University of Iowa,IA,123,36266,4460757,75963196,33092807,42870389
2017,University of Kansas,KS,114,30560,3483796,34159741,19470504,14689237
2017,University of Kentucky,KY,123,32057,3943010,40035938,27206659,12829279
2017,University of Louisiana at Lafayette,LA,123,16204,1993074,9793993,9793993,0
2017,University of Louisiana at Monroe,LA,125,7503,937868,5198019,5198019,0
2017,University of Louisville,KY,102,53140,5420270,43649769,26858473,16791296
2017,University of Maryland-College Park,MD,121,21551,2607695,34572475,19881239,14691236
2017,University of Massachusetts-Amherst,MA,113,16171,1827299,10010932,10010932,0
2017,Memphis,TN,125,23516,2939531,17569774,17569774,0
2017,Miami,FL,109,53104,5788381,57144810,37268190,19876620
2017,University of Michigan-Ann Arbor,MI,135,56196,7586460,124928493,43453382,81475111
2017,University of Minnesota-Twin Cities,MN,113,54592,6168861,61561973,27754757,33807216
2017,University of Mississippi,MS,127,48176,6118412,51212053,30175051,21037002
2017,University of Missouri-Columbia,MO,119,34690,4128103,31426691,23659474,7767217
2017,University of Nebraska-Lincoln,NE,128,37082,4746458,92506833,46116924,46389909
2017,University of Nevada-Las Vegas,NV,103,15824,1629856,9982684,9982684,0
2017,University of Nevada-Reno,NV,131,15491,2029300,10037079,10037079,0
2017,University of New Mexico-Main Campus,NM,116,12431,1441996,9719807,9682160,37647
2017,University of North Carolina at Chapel Hill,NC,134,25057,3357574,43122492,21068434,22054058
2017,University of North Carolina at Charlotte,NC,123,15986,1966260,9071759,9071759,0
2017,University of North Texas,TX,121,25487,3083903,13663161,13663161,0
2017,Notre Dame,IN,114,84505,9633620,107434072,42822063,64612009
2017,Oklahoma,OK,116,97165,11271152,102321307,39088102,63233205
2017,University of Oregon,OR,102,54471,5556041,70542278,27716622,42825656
2017,University of Pittsburgh-Pittsburgh Campus,PA,111,42690,4738615,36453643,27141760,9311883
2017,University of South Alabama,AL,116,12400,1438393,10637547,10920153,-282606
2017,University of South Carolina-Columbia,SC,116,35810,4153930,64415927,33317645,31098282
2017,University of South Florida-Main Campus,FL,111,25912,2876237,13336920,13334071,2849
2017,Southern Cal,CA,110,114984,12648219,60171935,32949542,27222393
2017,University of Southern Mississippi,MS,110,14589,1604779,6880893,6880893,0
2017,University of Toledo,OH,114,17986,2050454,10691139,10691139,0
2017,University of Tulsa,OK,120,11370,1364452,13882659,13882659,0
2017,University of Utah,UT,129,43249,5579078,55835312,25609244,30226068
2017,University of Virginia-Main Campus,VA,103,30638,3155700,32549903,22552489,9997414
2017,Washington,WA,113,92511,10453775,81131079,38744975,42386104
2017,Wisconsin,WI,115,52160,5998401,82423665,30153256,52270409
2017,University of Wyoming,WY,111,8375,929596,13481960,10168112,3313848
2017,Utah State University,UT,110,14139,1555292,10370950,10370950,0
2017,Vanderbilt University,TN,102,26712,2724632,30331584,23476754,6854830
2017,Virginia Tech,VA,123,34857,4287427,55348135,27864229,27483906
2017,Wake Forest University,NC,105,20773,2181135,25793812,19360660,6433152
2017,Washington State,WA,124,37333,4629284,41709437,19963281,21746156
2017,West Virginia University,WV,126,54046,6809771,20543010,20961319,-418309
2017,Western Kentucky University,KY,123,19893,2446798,7770653,7770653,0
2017,Western Michigan University,MI,105,12536,1316286,9197073,9197073,0
