Rank,Team
1,Alabama
2,Clemson
3,Ohio State
4,Washington
5,Penn State
6,Michigan
7,Oklahoma
8,Wisconsin
9,Southern Cal
10,Colorado
11,Florida State
12,Oklahoma State
13,Louisville
14,Auburn
15,Western Michigan
16,West Virginia
17,Florida
18,Stanford
19,Utah
20,LSU
21,Tennessee
22,Virginia Tech
23,Pitt
24,Temple
