Rank,Team
1,Clemson
2,Oklahoma
3,Georgia
4,Alabama
5,Ohio State
6,Wisconsin
7,Auburn
8,Southern Cal
9,Penn State
10,Miami
11,Washington
12,Central Florida
13,Stanford
14,Notre Dame
15,TCU
16,Michigan State
17,LSU
18,Washington State
19,Oklahoma State
20,Memphis
21,Northwestern
22,Virginia Tech
23,Mississippi State
24,NC State
25,Boise State
