Survey Year,Team,State,Players,Operating Expenses per Participant,Operating Expenses,Total Revenues,Total Expenses,Net Revenue
2014,Appalachian State University,NC,110,8484,933229,5947165,5947165,0
2014,Arizona State,AZ,121,62414,7552151,49016140,28083384,20932756
2014,Arkansas State University-Main Campus,AR,122,12811,1562898,6501109,6501109,0
2014,Auburn,AL,122,35648,4349056,86742256,40077352,46664904
2014,Ball State University,IN,119,13666,1626207,7061205,7061205,0
2014,Baylor,TX,113,46448,5248575,35575376,28433715,7141661
2014,Boise State,ID,107,26426,2827603,20206989,8839739,11367250
2014,Boston College,MA,93,53910,5013592,27232643,21853965,5378678
2014,Bowling Green State University-Main Campus,OH,104,12741,1325101,6574521,6574467,54
2014,Brigham Young University-Provo,UT,128,22258,2849014,19902453,14634364,5268089
2014,California State University-Fresno,CA,112,27488,3078693,13552228,10980347,2571881
2014,Central Michigan University,MI,115,15079,1734074,6971102,6971102,0
2014,Clemson,SC,115,40264,4630343,43959747,24191774,19767973
2014,Colorado State University-Fort Collins,CO,116,26006,3016695,13002269,13002269,0
2014,Duke University,NC,114,29762,3392912,32407399,22915934,9491465
2014,East Carolina University,NC,126,28388,3576933,12299240,11355294,943946
2014,Eastern Michigan University,MI,107,8764,937703,6291437,6259439,31998
2014,Florida Atlantic University,FL,115,15948,1834045,7659353,7628818,30535
2014,Florida International University,FL,101,15487,1564204,9157416,9157416,0
2014,Florida State,FL,120,89909,10789051,70321194,31299768,39021426
2014,Georgia Tech,GA,116,39777,4614135,41124340,19682945,21441395
2014,Georgia Southern University,GA,135,6808,919084,4777968,4777968,0
2014,Georgia State University,GA,125,19332,2416441,6664116,6664116,0
2014,Indiana University-Bloomington,IN,136,18362,2497266,27508477,18010927,9497550
2014,Iowa State University,IA,126,23891,3010211,33074046,15420583,17653463
2014,Kansas State,KS,128,23909,3060364,34725916,16967110,17758806
2014,Kent State University at Kent,OH,106,9684,1026554,5652301,5497223,155078
2014,LSU,LA,120,30877,3705213,86312831,28639663,57673168
2014,Louisiana Tech University,LA,100,22132,2213208,7473142,7341453,131689
2014,Marshall University,WV,106,16001,1696113,9038549,7912066,1126483
2014,Miami University-Oxford,OH,115,11009,1266004,8172656,8172654,2
2014,Michigan State,MI,115,54950,6319252,59227831,27694367,31533464
2014,Middle Tennessee State University,TN,142,13889,1972219,9054880,9054880,0
2014,Mississippi State,MS,109,23051,2512581,31308423,17213521,14094902
2014,New Mexico State University-Main Campus,NM,117,17822,2085145,6375298,6375298,0
2014,North Carolina Central University,NC,125,4145,518071,3397443,3397443,0
2014,North Carolina State University at Raleigh,NC,115,13582,1561961,39999142,17833208,22165934
2014,Northern Illinois University,IL,113,15645,1767843,8268043,8268043,0
2014,Northwestern University,IL,110,24976,2747342,31664655,20884258,10780397
2014,Ohio State,OH,118,86065,10155684,83547428,32588493,50958935
2014,Ohio University-Main Campus,OH,120,7213,865609,8011239,7745655,265584
2014,Oklahoma State University-Main Campus,OK,135,25295,3414866,43778793,19523281,24255512
2014,Old Dominion University,VA,125,16840,2105030,8709737,8709737,0
2014,Oregon State University,OR,105,20076,2107942,30916950,14690714,16226236
2014,Pennsylvania State University-Main Campus,PA,115,83665,9621531,71305219,35146623,36158596
2014,Purdue University-Main Campus,IN,105,32725,3436142,17073335,15598196,1475139
2014,Rice University,TX,111,23646,2624662,13010450,13010445,5
2014,Rutgers University-New Brunswick,NJ,111,45789,5082634,26903695,20158193,6745502
2014,San Diego State University,CA,127,22979,2918358,12459848,13364530,-904682
2014,San Jose State University,CA,108,17876,1930613,6490966,6490966,0
2014,Southern Methodist University,TX,111,13300,1476350,16448366,16448366,0
2014,Stanford University,CA,113,25969,2934534,37519312,19912411,17606901
2014,Syracuse University,NY,114,23803,2713537,41877234,19809300,22067934
2014,Temple University,PA,124,25402,3149852,14247503,14247503,0
2014,Texas A & M University-College Station,TX,119,30930,3680669,62199166,25670784,36528382
2014,TCU,TX,127,54757,6954177,41259536,33751213,7508323
2014,Texas State University,TX,120,16227,1947235,6320336,6320336,0
2014,Texas Tech University,TX,127,28100,3568666,39266665,20955929,18310736
2014,Alabama,AL,130,61128,7946626,97023963,51044292,45979671
