Survey Year,Team,State,Players,Operating Expenses per Participant,Operating Expenses,Total Revenues,Total Expenses,Net Revenue
2014,The University of Tennessee-Knoxville,TN,135,29292,3954428,94377857,24511032,69866825
2014,The University of Texas at Austin,TX,126,50184,6323198,121382436,29814804,91567632
2014,The University of Texas at El Paso,TX,108,23324,2518979,11636472,9205444,2431028
2014,The University of Texas at San Antonio,TX,117,23423,2740461,8564222,8564222,0
2014,Troy University,AL,147,7182,1055753,6962876,6962876,0
2014,Tulane University of Louisiana,LA,114,11356,1294556,8980759,11293759,-2313000
2014,University at Buffalo,NY,107,11233,1201975,7259746,7259746,0
2014,University of Akron Main Campus,OH,105,8577,900581,7155103,7155103,0
2014,University of Alabama at Birmingham,AL,135,6350,857251,6933407,6856361,77046
2014,Arizona,AZ,125,45090,5636229,23115960,20422820,2693140
2014,University of Arkansas,AR,120,45270,5432353,66179978,30795322,35384656
2014,University of California-Berkeley,CA,134,39351,5273040,43651316,21802870,21848446
2014,UCLA,CA,123,65451,8050416,44727001,26858792,17868209
2014,University of Central Florida,FL,125,32809,4101139,23626498,18051303,5575195
2014,University of Cincinnati-Main Campus,OH,112,28484,3190182,13821277,13821277,0
2014,University of Colorado Boulder,CO,112,35962,4027733,28313259,17039193,11274066
2014,University of Connecticut,CT,99,43331,4289724,8308332,14225947,-5917615
2014,University of Florida,FL,109,72982,7955037,74720732,37473203,37247529
2014,Georgia,GA,122,48783,5951527,86719115,26154335,60564780
2014,University of Hawaii at Manoa,HI,110,24241,2666488,10716179,10716179,0
2014,University of Houston,TX,110,21947,2414124,11306212,11306212,0
2014,University of Idaho,ID,101,18088,1826838,6204214,6123773,80441
2014,University of Illinois at Urbana-Champaign,IL,110,25716,2828708,30819615,18336909,12482706
2014,University of Iowa,IA,121,39883,4825833,52354781,25482299,26872482
2014,University of Kansas,KS,91,31326,2850656,25986541,20793566,5192975
2014,University of Kentucky,KY,129,17696,2282744,35495890,19033843,16462047
2014,University of Louisiana at Lafayette,LA,128,18833,2410680,7953169,7953169,0
2014,University of Louisiana at Monroe,LA,97,10879,1055269,4071730,4071730,0
2014,Louisville,KY,122,32330,3944304,36383759,18654530,17729229
2014,University of Maryland-College Park,MD,107,26786,2866106,30891641,16151389,14740252
2014,University of Massachusetts-Amherst,MA,110,13448,1479275,7027529,7027529,0
2014,University of Memphis,TN,117,16987,1987502,13376999,13376999,0
2014,University of Miami,FL,111,57899,6426835,38985460,26894656,12090804
2014,University of Michigan-Ann Arbor,MI,117,37768,4418872,88251525,31880547,56370978
2014,Minnesota,MN,126,39300,4951745,35772983,26292215,9480768
2014,Ole Miss,MS,123,38458,4730304,53399653,25164361,28235292
2014,Missouri,MO,127,44806,5690424,37892973,23318033,14574940
2014,University of Nebraska-Lincoln,NE,138,48611,6708264,60621628,29179492,31442136
2014,University of Nevada-Las Vegas,NV,108,13493,1457226,8954365,8954365,0
2014,University of Nevada-Reno,NV,114,18912,2155938,8252434,7087956,1164478
2014,University of New Mexico-Main Campus,NM,116,16827,1951948,7677165,7677165,0
2014,University of North Carolina at Chapel Hill,NC,129,30135,3887361,36050976,21741635,14309341
2014,University of North Carolina at Charlotte,NC,104,9229,959805,5834689,5834689,0
2014,University of North Texas,TX,103,16160,1664496,8348300,5112509,3235791
2014,University of Notre Dame,IN,109,66532,7252022,86125989,31872250,54253739
2014,University of Oklahoma-Norman Campus,OK,117,50584,5918354,78737409,30316609,48420800
2014,Oregon,OR,110,36252,3987730,60956894,20679336,40277558
2014,University of Pittsburgh-Pittsburgh Campus,PA,108,49955,5395162,34089376,22314576,11774800
2014,University of South Alabama,AL,133,12211,1624028,8548788,8382537,166251
2014,University of South Carolina-Columbia,SC,110,27182,2990022,59768622,31357215,28411407
2014,University of South Florida-Main Campus,FL,115,23259,2674801,10694740,12016829,-1322089
2014,Southern Cal,CA,112,91554,10254029,45886944,30575240,15311704
2014,University of Southern Mississippi,MS,120,9516,1141974,7631061,7631061,0
2014,University of Toledo,OH,105,19589,2056878,8171693,8171693,0
2014,University of Tulsa,OK,126,11588,1460086,15108680,15108680,0
2014,Utah,UT,125,35887,4485879,42931079,19553655,23377424
2014,University of Virginia-Main Campus,VA,111,32036,3555956,24551003,18083383,6467620
2014,University of Washington-Seattle Campus,WA,106,85157,9026631,66941640,29136569,37805071
2014,Wisconsin,WI,112,39455,4419012,44797138,26643793,18153345
2014,University of Wyoming,WY,116,12360,1433752,11008232,8061049,2947183
2014,Utah State University,UT,112,17720,1984678,7992075,7992075,0
2014,Vanderbilt University,TN,107,26442,2829245,27409392,24136525,3272867
2014,Virginia Polytechnic Institute and State University,VA,141,25688,3622023,50387116,26818875,23568241
2014,Wake Forest University,NC,107,19601,2097270,20797837,15440704,5357133
2014,Washington State University,WA,139,23719,3296989,32004916,16638375,15366541
2014,West Virginia University,WV,131,34688,4544144,22510492,17367769,5142723
2014,Western Kentucky University,KY,134,7857,1052817,7227022,7227022,0
2014,Western Michigan University,MI,107,14431,1544131,8041489,8041487,2
